rank,string,count,frequency
644,下去,61,0.0003
645,具体,61,0.0003
646,警方,61,0.0003
647,隐瞒,61,0.0003
648,责任,61,0.0003
649,爱心,61,0.0003
650,保证,61,0.0003
651,数字,60,0.0003
652,严格执行,60,0.0003
653,门口,60,0.0003
654,压力,60,0.0003
655,考虑,60,0.0003
656,派出所,60,0.0003
657,疾控中心,60,0.0003
658,老年人,60,0.0003
659,生日,60,0.0003
660,行为,60,0.0003
661,遵守,60,0.0003
662,太原,59,0.0003
663,保供,59,0.0003
664,科技,59,0.0003
665,免费,59,0.0003
666,我国,59,0.0003
667,使用,59,0.0003
668,一例,59,0.0003
669,卫生,59,0.0003
670,回到,59,0.0003
671,三区,59,0.0003
672,当时,59,0.0003
673,暂时,59,0.0003
674,恢复正常,58,0.0002
675,校门,58,0.0002
676,稳定,58,0.0002
677,线下,58,0.0002
678,不敢,58,0.0002
679,困难,58,0.0002
680,坚守,58,0.0002
681,模式,58,0.0002
682,咖啡,58,0.0002
683,重庆,57,0.0002
684,楼下,57,0.0002
685,开心,57,0.0002
686,拒绝,57,0.0002
687,水果,57,0.0002
688,非必要,57,0.0002
689,一条,57,0.0002
690,真正,57,0.0002
691,早点,57,0.0002
692,百盛,57,0.0002
693,心里,57,0.0002
694,旅游,57,0.0002
695,打赢,57,0.0002
696,再次,56,0.0002
697,允许,56,0.0002
698,排队,56,0.0002
699,记录,56,0.0002
700,违反,56,0.0002
701,实在,56,0.0002
702,民生,56,0.0002
703,员工,56,0.0002
704,情绪,56,0.0002
705,宁夏,55,0.0002
706,医护,55,0.0002
707,不解,55,0.0002
708,时至,55,0.0002
709,春日,55,0.0002
710,外地,55,0.0002
711,身体健康,55,0.0002
712,方面,55,0.0002
713,胜利,55,0.0002
714,价格,55,0.0002
715,交警,55,0.0002
716,同事,55,0.0002
717,取消,55,0.0002
718,必要,55,0.0002
719,一波,54,0.0002
720,阶段,54,0.0002
721,我家,54,0.0002
722,估计,54,0.0002
723,形式主义,54,0.0002
724,毕业,54,0.0002
725,报备,54,0.0002
726,阿姨,54,0.0002
727,下来,54,0.0002
728,工作者,54,0.0002
729,引发,54,0.0002
730,来源,54,0.0002
731,意义,54,0.0002
732,高三,53,0.0002
733,大理,53,0.0002
734,一家,53,0.0002
735,意思,53,0.0002
736,医务人员,53,0.0002
737,保安,53,0.0002
738,永远,53,0.0002
739,马上,53,0.0002
740,迅速,53,0.0002
741,代价,53,0.0002
742,为啥,53,0.0002
743,毕竟,53,0.0002
744,停止,53,0.0002
745,半个,52,0.0002
746,回去,52,0.0002
747,青春,52,0.0002
748,基础,52,0.0002
749,几乎,52,0.0002
750,经历,52,0.0002
751,变异,52,0.0002
752,蔓延,52,0.0002
753,分区,52,0.0002
754,关闭,52,0.0002
755,九台,51,0.0002
756,以前,51,0.0002
757,一轮,51,0.0002
758,过来,51,0.0002
759,没想到,51,0.0002
760,35,51,0.0002
761,普通,51,0.0002
762,师范学院,51,0.0002
763,三亚,51,0.0002
764,一场,51,0.0002
765,竟然,51,0.0002
766,大连,51,0.0002
767,一份,51,0.0002
768,志愿,51,0.0002
769,办公,51,0.0002
770,轨迹,51,0.0002
771,洛阳,51,0.0002
772,各项,51,0.0002
773,未来,51,0.0002
774,饿死,50,0.0002
775,群里,50,0.0002
776,留学生,50,0.0002
777,小孩,50,0.0002
778,25,50,0.0002
779,坐标,50,0.0002
780,面临,50,0.0002
781,过程,50,0.0002
782,外省,50,0.0002
783,辖区,50,0.0002
784,关心,50,0.0002
785,伴侣,50,0.0002
786,在线,49,0.0002
787,前往,49,0.0002
788,三天,49,0.0002
789,快乐,49,0.0002
790,心理,49,0.0002
791,机场,49,0.0002
792,最好,49,0.0002
793,程度,49,0.0002
794,省市,49,0.0002
795,区内,49,0.0002
796,切实,49,0.0002
797,徐州,49,0.0002
798,公安局,49,0.0002
799,症状,49,0.0002
800,随便,49,0.0002
801,居然,49,0.0002
802,存在,49,0.0002
803,建设,49,0.0002
804,第一天,48,0.0002
805,平时,48,0.0002
806,常态,48,0.0002
807,领导小组,48,0.0002
808,很大,48,0.0002
809,没事,48,0.0002
810,市政府,48,0.0002
811,正确,48,0.0002
812,垃圾,48,0.0002
813,彻底,48,0.0002
814,延期,48,0.0002
815,生命安全,48,0.0002
816,明显,48,0.0002
817,一律,48,0.0002
818,强调,48,0.0002
819,明白,48,0.0002
820,美好,48,0.0002
821,小伙伴,48,0.0002
822,充足,48,0.0002
823,周边,48,0.0002
824,中央,48,0.0002
825,到位,48,0.0002
826,救治,47,0.0002
827,每次,47,0.0002
828,感受,47,0.0002
829,100,47,0.0002
830,养老,47,0.0002
831,反复,47,0.0002
832,异常,47,0.0002
833,以下,47,0.0002
834,国外,47,0.0002
835,造谣,47,0.0002
836,集团,47,0.0002
